zipcode,lattitude,longitude,city,population,pplpersqmile,avgincomeperhshd
28223,35.301946,-80.734737,Charlotte,"3,265.00","7,150.18", -   
28205,35.218791,-80.789601,Charlotte,"46,301.00","3,876.93","34,240.00"
28212,35.187703,-80.744556,Charlotte,"35,367.00","3,802.06","37,151.00"
28209,35.178714,-80.853985,Charlotte,"19,759.00","3,638.25","46,175.00"
28207,35.194148,-80.824585,Charlotte,"8,691.00","3,435.91","84,232.00"
28210,35.129916,-80.856206,Charlotte,"40,857.00","3,268.97","52,286.00"
28203,35.208082,-80.85925,Charlotte,"10,162.00","3,052.82","38,918.00"
28204,35.214799,-80.827018,Charlotte,"4,900.00","2,894.13","33,006.00"
28202,35.227271,-80.844194,Charlotte,"5,032.00","2,756.00","32,230.00"
28211,35.166342,-80.797285,Charlotte,"27,757.00","2,482.16","62,371.00"
28226,35.10265,-80.822144,Charlotte,"35,311.00","2,403.37","68,636.00"
28270,35.114865,-80.761718,Charlotte,"25,941.00","2,245.80","76,795.00"
28213,35.286034,-80.734355,Charlotte,"25,882.00","1,907.01","41,340.00"
28206,35.256127,-80.820999,Charlotte,"12,539.00","1,789.04","25,663.00"
28208,35.23043,-80.907493,Charlotte,"35,890.00","1,647.35","27,576.00"
28269,35.334508,-80.803461,Charlotte,"42,356.00","1,419.99","61,899.00"
28215,35.243457,-80.701067,Charlotte,"41,259.00","1,366.57","46,729.00"
28277,35.053275,-80.816601,Charlotte,"33,905.00","1,360.39","86,713.00"
28217,35.168896,-80.908285,Charlotte,"19,388.00","1,301.44","38,757.00"
28227,35.189404,-80.645488,Charlotte,"39,535.00","1,021.32","51,189.00"
28216,35.309994,-80.887121,Charlotte,"29,763.00","1,011.51","40,740.00"
28262,35.322061,-80.739981,Charlotte,"18,168.00",883.42,"50,538.00"
28273,35.127365,-80.946828,Charlotte,"18,281.00",801.76,"56,437.00"
28214,35.272414,-80.967036,Charlotte,"20,811.00",603.86,"49,534.00"
28278,35.130547,-81.002682,Charlotte,"6,175.00",225.92,"71,420.00"
