objectid,parkid,parkname,parkaddress,streetno,streetname,city,state,zipcode,parktype,parkcatagory,parkstatus,parkdist,parkphone,councildistrict,bocc,parkdate,x,y,leasedid,parklatitude,parklongitude,lattitude,longitude,population,pplpersqmile,avgincomeperhshd
40,HOWA,Howie Acres Park,1001 TREMBETH DR,1001,TREMBETH,CHARLOTTE,NC,28205,Neighborhood,General,Developed,North,9803141001,District 1,District 3,1998/07/28 00:00:00+00,1467294.476,550544.5533,Mecklenburg,35.250215000000004,-80.78502399999999,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
154,LTLP,Little Peoples Park,1120 HARRILL ST,1200,HARRILL,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,9803141002,District 1,District 3,1998/07/28 00:00:00+00,1456404.896,543042.1736,Mecklenburg,35.228277,-80.820233,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
293,PROG,Progress Park,1301 PARKWOOD AV,1301,PARKWOOD,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,9803141002,District 1,District 3,1998/07/28 00:00:00+00,1458838.967,544717.0293,Mecklenburg,35.233365,-80.812472,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
283,SHLD,Sheffield Park,1311 TARRINGTON AV,1311,TARRINGTON,CHARLOTTE,NC,28205,Neighborhood,General,Developed,South,9803141003,District 5,District 4,1998/07/28 00:00:00+00,1472235.77,534645.3593,Mecklenburg,35.206368,-80.768059,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
47,EVER,Evergreen Nature Preserve,1336 NORLAND RD,0,NO ADDRESS,CHARLOTTE,NC,28205,Nature Preserve,General,Developed,South,9803141003,District 5,District 4,1998/12/14 00:00:00+00,1468972.751,535558.5032,Mecklenburg,35.208311,-80.77761,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
151,MOEP,Merry Oaks Park,1806 MERRY OAKS RD,0, ,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,1998/10/12 00:00:00+00,1466732.0219999999,539660.225,Mecklenburg,35.219695,-80.78558100000001,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
59,RAND,Randolph Road Park,201 BILLINGSLEY RD,201,BILLINGSLEY,CHARLOTTE,NC,28205,Community,General,Developed,Central,9803141002,District 1,District 4,1998/07/28 00:00:00+00,1459459.5769999998,529232.8006,Mecklenburg,35.191815000000005,-80.809067,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
36,MIDW,Midwood Park,2100 WILHELMINA AV,2100,WILHELMINA,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,1998/07/28 00:00:00+00,1461718.342,543588.4661,Mecklenburg,35.22948,-80.802348,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
48,VETS,Veterans Park,2136 CENTRAL AV,2136,CENTRAL,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,1998/07/28 00:00:00+00,1461194.792,539774.3774,Mecklenburg,35.217760999999996,-80.804968,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
232,CHTY,Chantilly Park,222 WYANOKE AV,222,WYANOKE,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,1998/07/28 00:00:00+00,1459684.67,535404.7833,Mecklenburg,35.207352,-80.808592,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
164,SHAM,Shamrock Park,2545 JEFF ST,2545,JEFF,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,1998/07/28 00:00:00+00,1467349.1930000002,545361.9667,Mecklenburg,35.234801000000004,-80.78356099999999,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
77,KLBN,Kilborne Park,2600 KILBORNE DR,2600,KILBORNE,CHARLOTTE,NC,28205,Community,General,Developed,South,9803141003,District 1,District 4,1998/07/28 00:00:00+00,1471109.586,539906.1002,Mecklenburg,35.220462,-80.771513,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
221,CCHG,Country Club Heights Community Garden,2909 DUNLAVIN WY,2909,DUNLAVIN,CHARLOTTE,NC,28205,Community Garden,Garden,Developed,Central,9803141000,District 1,District 5,2018/08/24 00:00:00+00,1468194.0,543629.9999,Mecklenburg,35.230623,-80.780974,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
296,MOCG,Merry Oaks Community Garden,3000 HARBINGER CT,3000,HARBINGER,CHARLOTTE,NC,28205,Community Garden,Garden,Developed,Central,9803141002,District 3,District 2,2017/01/12 00:00:00+00,1464702.253,540960.0927,Mecklenburg,35.223147,-80.79261899999999,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
238,WINT,Winterfield Park,3010 WINTERFIELD PL,0, ,CHARLOTTE,NC,28205,Neighborhood,General,Developed,South,9803141003,District 5,District 4,2008/04/21 00:00:00+00,1472619.601,535594.4866,Mecklenburg,35.209405,-80.76621,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
170,CLEM,Davis Flohr Park,3020 CLEMSON AV,3020,CLEMSON,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,1998/07/28 00:00:00+00,1461636.744,547720.8184,Mecklenburg,35.241698,-80.802863,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
184,GRHT,Grier Heights Park,3120 LEROY ST,3110,LEROY,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,2007/07/16 00:00:00+00,1459885.996,531103.8159,Mecklenburg,35.195684,-80.808175,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
39,MTHP,Methodist Home Park,3200 SHAMROCK DR,3200,SHAMROCK,CHARLOTTE,NC,28205,Neighborhood,General,Developed,South,9803141003,District 1,District 4,1998/07/28 00:00:00+00,1470191.876,544757.6256,Mecklenburg,35.235155999999996,-80.773025,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
291,MTHC,Methodist Home Recreation Center,3200 SHAMROCK DR,3200,SHAMROCK,CHARLOTTE,NC,28205,Recreation Center,RecCenter,Developed,South,9803141123,District 1,District 4,1998/07/28 00:00:00+00,1470575.456,545221.9688,Mecklenburg,35.235155999999996,-80.773025,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
254,NCPK,North Charlotte Park,3400 SPENCER ST,3400,SPENCER,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,1998/07/28 00:00:00+00,1463246.293,549329.7604,Mecklenburg,35.24548,-80.79764399999999,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
311,CORP,Cordelia Park,600 E 24TH ST,600,24TH,CHARLOTTE,NC,28205,Community,General,Developed,Central,9803141002,District 1,District 3,1998/08/12 00:00:00+00,1457990.582,546282.8773,Mecklenburg,35.198859999999996,-80.857538,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
294,CHAS,Charles Avenue Park,800 CHARLES AV,800,CHARLES,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,9803141002,District 1,District 4,1998/07/28 00:00:00+00,1460277.961,548213.0956,Mecklenburg,35.188274,-80.658331,35.218790999999996,-80.789601,"46,301.00","3,876.93","34,240.00"
181,THRD,James Dennis Rash Park,1001 W 4TH ST EXT,1001,4TH,CHARLOTTE,NC,28202,Neighborhood,General,Developed,Central,9803141002,District 2,District 4,1998/07/28 00:00:00+00,1446096.741,544878.9741,Mecklenburg,35.232769,-80.855076,35.227271,-80.84419399999999,"5,032.00","2,756.00","32,230.00"
